10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;0;0;0;0;0;0
40;0;0;0;0;0;0
50;0;0;0;0;0;0
60;0;0;0;0;0;0
10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;0;0;0;0;0;0
40;0;0;0;0;0;0
50;8;0;1;0;17;0
60;19;10;2;1;59;0
70;17;25;2;3;96;0
80;20;27;2;3;140;0
90;19;26;2;3;182;0
100;20;25;2;3;226;0
110;19;26;2;3;268;0
120;20;25;2;3;312;0
130;19;25;2;3;354;0
140;19;26;2;3;396;0
150;19;25;2;3;438;0
160;18;26;2;3;477;0
170;19;26;2;3;519;0
180;19;25;2;3;561;0
190;18;26;2;3;600;0
200;19;26;2;3;642;0
210;18;26;2;3;681;0
220;18;19;2;2;720;0
230;17;19;2;2;757;0
240;17;15;2;1;794;0
250;17;26;2;3;831;0
260;17;25;2;3;868;0
270;17;25;2;3;905;0
280;17;25;2;3;942;0
290;17;25;2;3;979;0
300;16;24;2;3;1014;1
310;17;25;2;3;1051;1
320;17;25;2;3;1088;1
330;17;24;2;3;1125;1
340;16;24;2;3;1160;1
350;17;24;2;3;1197;1
360;17;24;2;3;1234;1
370;17;24;2;3;1271;1
380;16;24;2;3;1306;1
390;17;24;2;3;1343;1
400;17;24;2;3;1380;1
410;17;24;2;3;1417;1
420;16;25;2;3;1452;1
430;17;26;2;3;1489;1
440;16;25;2;3;1524;1
450;16;26;2;3;1559;1
460;16;26;2;3;1594;1
470;17;27;2;3;1631;1
480;15;26;1;3;1664;1
490;16;23;2;3;1699;1
500;16;25;2;3;1734;1
510;16;26;2;3;1769;1
520;16;26;2;3;1804;1
530;17;26;2;3;1841;1
540;16;26;2;3;1876;1
550;16;27;2;3;1911;1
560;16;26;2;3;1946;1
570;17;27;2;3;1983;1
580;16;26;2;3;2018;2
590;16;27;2;3;2053;2
600;17;27;2;3;2090;2
610;16;26;2;3;2125;2
620;16;26;2;3;2160;2
630;16;27;2;3;2195;2
640;16;26;2;3;2230;2
650;16;27;2;3;2265;2
660;16;26;2;3;2300;2
670;16;27;2;3;2335;2
680;16;26;2;3;2370;2
690;16;26;2;3;2405;2
700;17;27;2;3;2442;2
710;16;26;2;3;2477;2
720;16;27;2;3;2512;2
730;16;26;2;3;2547;2
740;15;26;1;3;2580;2
750;17;26;2;3;2617;2
760;15;26;1;3;2650;2
770;16;27;2;3;2685;2
780;15;26;1;3;2718;2
790;16;27;2;3;2753;2
800;16;26;2;3;2788;2
810;16;26;2;3;2823;2
820;15;26;1;3;2856;2
830;16;27;2;3;2891;2
840;16;26;2;3;2926;2
850;16;26;2;3;2961;2
860;16;26;2;3;2996;2
870;16;27;2;3;3031;3
880;15;26;1;3;3064;3
890;17;27;2;3;3101;3
900;16;27;2;3;3136;3
910;16;26;2;3;3171;3
920;16;27;2;3;3206;3
930;16;26;2;3;3241;3
940;16;27;2;3;3276;3
950;15;25;1;3;3309;3
960;7;21;0;2;3324;3
971;0;18;0;2;3324;3
981;0;11;0;1;3324;3
991;0;4;0;0;3324;3
1001;0;1;0;0;3324;3
1011;0;0;0;0;3324;3
1021;6;12;0;1;3337;3
1031;16;26;2;3;3372;3
1041;16;27;2;3;3407;3
1051;16;26;2;3;3442;3
1061;15;26;1;3;3475;3
1071;15;26;1;3;3508;3
1081;16;27;2;3;3543;3
1091;15;26;1;3;3576;3
1101;16;26;2;3;3611;3
1111;16;26;2;3;3646;3
1121;15;27;1;3;3679;3
1131;16;26;2;3;3714;3
1141;16;26;2;3;3749;3
1151;16;27;2;3;3784;3
1161;16;26;2;3;3819;3
1171;16;27;2;3;3854;3
1181;16;27;2;3;3889;3
1191;16;26;2;3;3924;3
1201;16;27;2;3;3959;3
1211;17;26;2;3;3996;3
1221;15;27;1;3;4029;4
1231;16;26;2;3;4064;4
1241;16;27;2;3;4099;4
1251;16;26;2;3;4134;4
1261;16;27;2;3;4169;4
1271;16;26;2;3;4204;4
1281;16;27;2;3;4239;4
1291;16;26;2;3;4274;4
1301;15;26;1;3;4307;4
1311;16;27;2;3;4342;4
1321;16;26;2;3;4377;4
1331;15;26;1;3;4410;4
1341;15;26;1;3;4443;4
1351;16;27;2;3;4478;4
1361;15;26;1;3;4511;4
1371;16;26;2;3;4546;4
1381;15;26;1;3;4579;4
1391;16;26;2;3;4614;4
1401;16;27;2;3;4649;4
1411;15;26;1;3;4682;4
1421;16;26;2;3;4717;4
1431;15;26;1;3;4750;4
1441;15;26;1;3;4783;4
1451;15;26;1;3;4816;4
1461;14;26;1;3;4847;4
1471;16;26;2;3;4882;4
1481;15;26;1;3;4915;4
1491;15;26;1;3;4948;4
1501;15;26;1;3;4981;4
1511;16;26;2;3;5016;5
1521;15;26;1;3;5049;5
1531;16;26;2;3;5084;5
1541;15;27;1;3;5117;5
1551;16;26;2;3;5152;5
1561;16;26;2;3;5187;5
1571;15;27;1;3;5220;5
1581;16;26;2;3;5255;5
1591;15;26;1;3;5288;5
1601;16;27;2;3;5323;5
1611;16;26;2;3;5358;5
1621;15;26;1;3;5391;5
1631;15;27;1;3;5424;5
1641;16;26;2;3;5459;5
1651;15;26;1;3;5492;5
1661;16;27;2;3;5527;5
1671;16;26;2;3;5562;5
1681;15;26;1;3;5595;5
1691;15;27;1;3;5628;5
1701;15;26;1;3;5661;5
1711;16;26;2;3;5696;5
1721;15;26;1;3;5729;5
1731;16;26;2;3;5764;5
1741;15;26;1;3;5797;5
1751;15;27;1;3;5830;5
1761;15;26;1;3;5863;5
1771;15;26;1;3;5896;5

10;0;0;0;0;0;0
20;5;20;0;2;11;0
30;1;17;0;2;13;0
40;0;16;0;2;13;0
50;0;16;0;2;13;0
60;0;16;0;2;13;0
70;0;15;0;1;13;0
80;0;16;0;2;13;0
90;0;16;0;2;13;0
100;0;16;0;2;13;0
110;0;16;0;2;13;0
120;0;16;0;2;13;0
130;0;16;0;2;13;0
140;0;16;0;2;13;0
150;0;15;0;1;13;0
160;0;16;0;2;13;0
170;0;16;0;2;13;0
180;0;16;0;2;13;0
190;0;16;0;2;13;0
200;0;16;0;2;13;0
210;0;16;0;2;13;0
220;0;16;0;2;13;0
230;0;16;0;2;13;0
240;0;16;0;2;13;0
250;0;16;0;2;13;0
260;0;16;0;2;13;0
270;0;15;0;1;13;0
280;0;16;0;2;13;0
290;0;16;0;2;13;0
300;0;16;0;2;13;0
310;5;22;0;2;24;0
320;29;36;3;4;88;0
330;24;33;3;4;141;0
340;8;19;1;2;158;0
350;0;4;0;0;158;0
360;0;0;0;0;158;0
370;0;0;0;0;158;0
380;0;0;0;0;158;0
390;0;2;0;0;158;0
400;0;12;0;1;158;0
410;0;19;0;2;158;0
420;0;17;0;2;158;0
430;0;18;0;2;158;0
440;0;17;0;2;158;0
450;0;17;0;2;158;0
460;0;17;0;2;158;0
470;0;17;0;2;158;0
480;0;16;0;2;158;0
490;0;17;0;2;158;0
500;0;15;0;1;158;0
510;0;17;0;2;158;0
520;0;16;0;2;158;0
530;0;16;0;2;158;0
540;0;16;0;2;158;0
550;0;16;0;2;158;0
560;0;19;0;2;158;0
570;0;20;0;2;158;0
580;0;21;0;2;158;0
590;0;20;0;2;158;0
600;0;19;0;2;158;0
610;0;20;0;2;158;0
620;0;19;0;2;158;0
630;0;20;0;2;158;0
640;0;19;0;2;158;0
650;0;20;0;2;158;0
660;0;19;0;2;158;0
670;0;19;0;2;158;0
680;0;20;0;2;158;0
690;0;19;0;2;158;0
700;0;20;0;2;158;0
710;0;19;0;2;158;0
720;0;20;0;2;158;0
730;0;19;0;2;158;0
740;0;20;0;2;158;0
750;0;18;0;2;158;0
760;0;19;0;2;158;0
770;0;20;0;2;158;0
780;0;20;0;2;158;0
790;0;21;0;2;158;0
800;0;21;0;2;158;0
810;0;21;0;2;158;0
820;0;18;0;2;158;0
830;0;17;0;2;158;0
840;0;17;0;2;158;0
850;0;12;0;1;158;0
860;0;22;0;2;158;0
870;0;21;0;2;158;0
880;0;19;0;2;158;0
890;0;20;0;2;158;0
900;0;19;0;2;158;0
910;0;18;0;2;158;0
920;0;18;0;2;158;0
930;0;18;0;2;158;0
940;0;18;0;2;158;0
950;0;17;0;2;158;0
960;0;19;0;2;158;0
971;0;22;0;2;158;0
981;0;22;0;2;158;0
991;0;21;0;2;158;0
1001;0;19;0;2;158;0
1011;0;20;0;2;158;0
1021;0;19;0;2;158;0
1031;0;19;0;2;158;0
10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;6;7;0;0;13;0
40;44;52;5;6;110;0
50;37;41;4;5;192;0
60;37;41;4;5;274;0
70;37;45;4;5;356;0
80;36;44;4;5;435;0
90;37;43;4;5;517;0
100;36;44;4;5;596;0
110;37;44;4;5;678;0
120;36;44;4;5;757;0
130;37;43;4;5;839;0
140;36;44;4;5;918;0
150;37;45;4;5;1000;1
160;36;43;4;5;1079;1
170;37;44;4;5;1161;1
180;37;44;4;5;1243;1
190;37;44;4;5;1325;1
200;37;45;4;5;1407;1
210;37;44;4;5;1489;1
220;38;45;5;5;1573;1
230;37;44;4;5;1655;1
240;37;45;4;5;1737;1
250;37;45;4;5;1819;1
260;31;37;4;4;1887;1
270;19;29;2;3;1929;1
280;17;27;2;3;1966;1
290;19;27;2;3;2008;2
300;17;27;2;3;2045;2
310;18;27;2;3;2084;2
320;17;27;2;3;2121;2
10;18;27;2;3;39;0
20;18;27;2;3;78;0
30;17;27;2;3;115;0
40;18;27;2;3;154;0
50;17;27;2;3;191;0
60;18;27;2;3;230;0
70;17;26;2;3;267;0
80;18;27;2;3;306;0
90;17;27;2;3;343;0
100;18;27;2;3;382;0
110;17;27;2;3;419;0
120;18;27;2;3;458;0
130;18;27;2;3;497;0
140;18;26;2;3;536;0
150;17;27;2;3;573;0
160;18;27;2;3;612;0
170;17;27;2;3;649;0
180;17;26;2;3;686;0
190;17;27;2;3;723;0
200;17;27;2;3;760;0
210;18;27;2;3;799;0
220;17;27;2;3;836;0
230;17;27;2;3;873;0
240;18;27;2;3;912;0
250;17;27;2;3;949;0
260;18;26;2;3;988;0
270;17;27;2;3;1025;1
280;18;27;2;3;1064;1
290;17;27;2;3;1101;1
300;18;27;2;3;1140;1
310;17;27;2;3;1177;1
320;17;27;2;3;1214;1
330;18;27;2;3;1253;1
340;17;27;2;3;1290;1
350;18;27;2;3;1329;1
360;17;27;2;3;1366;1
370;18;27;2;3;1405;1
380;17;26;2;3;1442;1
390;6;23;0;3;1455;1
400;0;26;0;3;1455;1
410;17;26;2;3;1492;1
420;4;23;0;3;1500;1
430;0;22;0;2;1500;1
440;0;28;0;3;1500;1
450;0;26;0;3;1500;1
460;0;27;0;3;1500;1
470;9;27;1;3;1519;1
480;18;27;2;3;1558;1
490;18;27;2;3;1597;1
500;17;27;2;3;1634;1
510;18;27;2;3;1673;1
520;17;27;2;3;1710;1
530;18;26;2;3;1749;1
540;17;27;2;3;1786;1
550;18;27;2;3;1825;1
560;17;27;2;3;1862;1
570;18;27;2;3;1901;1
580;16;26;2;3;1936;1
590;15;26;1;3;1969;1
600;14;26;1;3;2000;2
610;15;25;1;3;2033;2
620;14;26;1;3;2064;2
630;14;25;1;3;2095;2
640;15;26;1;3;2128;2
650;14;25;1;3;2159;2
660;13;26;1;3;2187;2
670;13;25;1;3;2215;2
